mother_in_low;"bag_w,book,ceramic_teapot,cookies_form,dishes,dishes2,ereader,food_processor,foot_warmer,health_w,jeverly_box,juicer,massage_card,Massager,mirror,pan,poncho,shopping_card,spa_card_1,taepot,theatre_tickets,Tonometr,travel_tour_card,travel_case,umbrella_w,watch_w,weekend_card,cookbook"
grandmother;"book,ceramic_teapot,cookies_form,dishes,dishes2,food_processor,foot_warmer,health_w,juicer,massage_card,massager,pan,poncho,shopping_card,taepot,theatre_tickets,Thermocup,tonometr,umbrella_w,cookbook"
wife;"book,actor_card,art_card,bag_w,baloon_card,camera,ceramic_teapot,concert_tikets,cookies_form,diary,dishes,dishes2,ereader,excursion_card_mdpi,food_processor,game_for_couple,gym_w,itrest_card,jeverly_box,laptop,massage_card,Massager,mirror,phone_w,pottery_card,quilling_card,riding_card,romantic_deinner,self_defense_card,shopping_card,Smartwatch,spa_card,sushi_card,tennis_card,theatre_tickets,travel_tour_card,travel_case,vocal_card,weekend_card,yoga_card,theatre_tickets"
girlfriend;"book,actor_card,art_card,bag_w,baloon_card,camera,concert_tikets,diary,djlessons_card_card,ereader,excursion_card_mdpi,extreme_driving_card,game_for_couple,gym_w,itrest_card,jeverly_box,massage_card,phone_w,quilling_card,ridingtour_card,romantic_deinner,self_defense_card,shopping_card,Smartwatch,spa_card,sport_stuff,sushi_card,theatre_tickets,travel_tour_card,vocal_card,watch_w,weekend_card,yoga_card"
sister;"book,actor_card,art_card,bag_w,baloon_card,camera,concert_tikets,cookies_form,diary,djlessons_card_card,ereader,extreme_driving_card,gym_w,itrest_card,jeverly_box,laptop,massage_card,phone_w,quilling_card,ridingtour_card,self_defense_card,shopping_card,Smartwatch,spa_card1,sport_stuff,sushi_card,theatre_tickets,Thermocup,travel_tour_card,travel_case,vocal_card,watch_w,weekend_card,yoga_card"
daughterinlow;"book,actor_card,ceramic_teapot,concert_tikets,cookies_form,cookbook,dishes,dishes2,ereader,food_processor,jeverly_box,juicer,massage_card,mirror,pan,phone_w,poncho,pottery_card,quilling_card,riding_card,ridingtour_card,shopping_card,Smartwatch,spa_card,taepot,tennis_card,theatre_tickets,Thermocup,travel_tour_card,travel_case,umbrella_w,vocal_card,weekend_card,watch_w
daughter;"book,actor_card,art_card,bag_w,camera,cookies_form,cookbook,diary,ereader,excursion_card_mdpi,gym_w,jeverly_box,laptop,mirror,phone_w,poncho,pottery_card,quilling_card,ridingtour_card,self_defense_card,shopping_card,Smartwatch,spa_card,sport_stuff,taepot,tennis_card,theatre_tickets,Thermocup,travel_tour_card,travel_case,umbrella_w,vocal_card,watch_w,yoga_card,
aunt;"book,bag_w,ceramic_teapot,cookies_form,cookbook,dishes,dishes2,ereader,food_processor,gym_w,health_w,itrest_card,jeverly_box,juicer,massage_card,Massager,mirror,pan,phone_w,poncho,pottery_card,ridingtour_card,self_defense_card,shopping_card,spa_card,sushi_card,taepot,tennis_card,theatre_tickets,travel_tour_card,travel_case,umbrella_w,vocal_card,watch_w,yoga_card,
friend;"book,actor_card,art_card,bag_w,baloon_card,camera,ceramic_teapot,concert_tikets,cookies_form,cookbook,diary,ereader,excursion_card_mdpi,djlessons_card_card,dishes,dishes2,extreme_driving_card,food_processor,gym_w,health_w,itrest_card,jeverly_box,juicer,massage_card,mirror,pan,phone_w,poncho,pottery_card,quilling_card,riding_card,ridingtour_card,self_defense_card,shopping_card,Smartwatch,spa_card,sport_stuff,sushi_card,taepot,tennis_card,theatre_tickets,Thermocup,travel_tour_card,travel_case,umbrella_w,vocal_card,watch_w,weekend_card,yoga_card,"
boyfriend;"actor_card,art_card,autoregistrator,backgammon,bag_m,baloon_card,belt,bike,billiards_card,book,buggy_driving,camera,concert_tikets,cosmetics_m,djlessons_card_card,drivinglessons_card,drums_card,ereader,excursion_card,extreme_driving_card,gamesclub_card,glasses,grilkit,guitarlessons,gym_m,headphones,karting_card,laptop,magicball,parfume_m,phone_m,photo_card,ps,purse,quest_card,shavingkit,shop_card_m,skateboard,smartwatch,sneakers,soccer_ticket,sport_stuff,tennis_card,Travel_case,traveltour_tickets,umbrella_m,watch_m,weekend_card,xbox,
husband;"alcohol,autoregistrator,backgammon,bag_m,baloon_card,belt,bike,billiards_card,book,buggy_driving,camera,cigars,clothes_m,concert_tikets,cosmetics_m,diary,drums_card,electric_shaver,ereader,excursion_card,extreme_driving_card,fishing_card,fishing,flashmemory,glasses,grilkit,gym_m,headphones,health_m,keyholder,laptop,magicball,massager,parfume_m_1,phone_m,photo_card,Ps,purse,quest_card,razor,seat_covers,shavingkit,shop_card_m,skewerkit,sleepwear_m,smartwatch,smoking_pipe,soccer_ticket,sport_stuff,tennis_card,thermocup,Tools,travel_case,traveltour_tickets,umbrella_m,watch_m,weekend_card,xbox,
brother;"actor_card,art_card,autoregistrator,backgammon,bag_m,belt,bike,billiards_card,book,buggy_driving,camera,clothes_m,concert_tikets,cosmetics_m,diary,djlessons_card_card,drivinglessons_card,drums_card,electric_shaver,ereader,excursion_card,extreme_driving_card,fishing_card,fishing,gamesclub_card,glasses,grilkit,guitarlessons,gym_m,headphones,health_m,karting_card,keyholder,laptop,magicball,massager,model,Parfume_m,phone_m,photo_card,Ps,purse,quest_card,seat_covers,shavingkit,shop_card_m,skateboard,skewerkit,smartwatch,sneakers,soccer_ticket,sport_stuff,tennis_card,thermocup,tools,travel_case,traveltour_tickets,Umbrella_m,watch_m,weekend_card,xbox,"
soninlow;"alcohol,autoregistrator,bag_m,belt,bike,billiards_card,book,buggy_driving,camera,clothes_m,concert_tikets,cosmetics_m,diary,drivinglessons_card,electric_shaver,ereader,fishing,glasses,grilkit,gym_m,headphones,health_m,keyholder,laptop,magicball,massager,parfume_m_1,phone_m,photo_card,purse,shavingkit,shop_card_m,skewerkit,smartwatch,soccer_ticket,sport_stuff,tennis_card,thermocup,travel_case,traveltour_tickets,umbrella_m,watch_m,weekend_card,
grandfather;"alcohol,autoregistrator,backgammon,bag_m,belt,billiards_card,book,Cigars,cosmetics_m,electric_shaver,ereader,fishing_card,fishing,foot_warmer,glasses,grilkit,health_m,keyholder,laptop,massager,parfume_m_1,phone_m,purse,razor,seat_covers,shavingkit,skewerkit,sleepwear_m,smoking_pipe,soccer_ticket,thermocup,tonometr,tools,umbrella_m,watch_m,weekend_card,
father;"alcohol,autoregistrator,backgammon,bag_m,belt,bike,billiards_card,book,camera,cigars,clothes_m,cosmetics_m,diary,electric_shaver,ereader,excursion_card,fishing_card,fishing,flashmemory,foot_warmer,glasses,grilkit,health_m,keyholder,laptop,magicball,massager,parfume_m_1,phone_m,photo_card,purse,razor,seat_covers,shavingkit,shop_card_m,skewerkit,sleepwear_m,smartwatch,smoking_pipe,soccer_ticket,tennis_card,thermocup,tonometr,tools,travel_case,traveltour_tickets,umbrella_m,watch_m,weekend_card,
Son;"actor_card,art_card,bag_m,baloon_card,belt,bike,book,buggy_driving,camera,clothes_m,concert_tikets,cosmetics_m,djlessons_card_card,drivinglessons_card,drums_card,ereader,excursion_card,extreme_driving_card,flashmemory,gamesclub_card,glasses,guitarlessons,gym_m,headphones,karting_card,laptop,magicball,model,parfume_m,phone_m,photo_card,Ps,purse,quest_card,seat_covers,shavingkit,shop_card_m,skateboard,sleepwear_m,smartwatch,sneakers,soccer_ticket,sport_stuff,tennis_card,thermocup,Traveltour_tickets,umbrella_m,watch_m,xbox,
uncle;"alcohol,autoregistrator,backgammon,bag_m,belt,bike,billiards_card,book,camera,cigars,clothes_m,cosmetics_m,diary,electric_shaver,ereader,excursion_card,fishing_card,fishing,flashmemory,foot_warmer,glasses,grilkit,health_m,keyholder,laptop,magicball,massager,parfume_m_1,phone_m,photo_card,purse,razor,seat_covers,shavingkit,shop_card_m,skewerkit,sleepwear_m,smartwatch,smoking_pipe,soccer_ticket,tennis_card,thermocup,tonometr,tools,travel_case,traveltour_tickets,umbrella_m,watch_m,weekend_card,
pal;"actor_card,art_card,alcohol,autoregistrator,backgammon,bag_m,baloon_card,belt,bike,billiards_card,book,buggy_driving,camera,cigars,clothes_m,concert_tikets,cosmetics_m,diary,djlessons_card_card,drivinglessons_card,drums_card,electric_shaver,ereader,excursion_card,extreme_driving_card,fishing_card,fishing,flashmemory,gamesclub_card,glasses,grilkit,guitarlessons,gym_m,headphones,karting_card,keyholder,laptop,magicball,model,parfume_m,phone_m,photo_card,Ps,purse,quest_card,razor,shavingkit,shop_card_m,skateboard,skewerkit,smartwatch,smoking_pipe,sneakers,soccer_ticket,sport_stuff,tennis_card,thermocup,tools,travel_case,traveltour_tickets,umbrella_m,watch_m,weekend_card,xbox"
